id,from_user,text,created_at,time,user_lang,user_followers_count,user_friends_count,user_location
1,oscr2019,"RT @CNBCMakeIt: Billionaire Jeff Bezos: To live a happy life with no regrets by age 80, ask yourself these 12 questions https://t.co/8v94PMYIGJ",Wed Apr 17 23:54:24 +0000 2019,18/04/2019 00:54:24,en,20235,1942,Coming to a town near you
2,hunter_oscr,RT @cristela9: My dream job is divorcing Jeff Bezos.,Wed Apr 17 23:49:44 +0000 2019,18/04/2019 00:49:44,en,361,430,"Dallas, TX"
3,alnavioscr,¿Sabías que Jeff Bezos quiere llevar internet a 95% del planeta con su empresa de cohetes? Por eso PLD Space se fija en él https://t.co/rXzGMclr2M @PLD_Space,Wed Apr 17 23:55:00 +0000 2019,18/04/2019 00:55:00,es,3981,173,
4,toscrykt,"When you reduce friction, make something easy, people do more of it.—Jeff Bezos, Founder and CEO, Amazon",Wed Apr 17 23:44:27 +0000 2019,18/04/2019 00:44:27,en,1361,1472,"London, UK"
5,ToscrunkitsMind,"Amazon CEO Jeff Bezos is accusing The National Enquirer of 'extortion and blackmail,' saying the tabloid threatened to release graphic images of him (link: https://t.co/ErI4KM6mmR) https://t.co/ErI4KM6mmR",Wed Apr 17 23:43:14 +0000 2019,18/04/2019 00:43:14,en,60782,48366,"Atlanta, GA"
